name,artist,id,acousticness,energy,tempo,valence
不可逆リプレイス,MY FIRST STORY,7lFzS8uBjpXckGjQQcpJrW,0.000143,0.931,99.955,0.365
ブラック・スワン,MY FIRST STORY,3oQ5Sd3C0WIU1L7nhkVqwh,0.000112,0.978,92.507,0.449
Zero Gravity,MY FIRST STORY,09lnZwGkn3E87OW3OQY89Y,0.000627,0.955,149.96,0.0761
The Puzzle,MY FIRST STORY,5RlrAVmBJWKzPUCwatuSrB,0.000494,0.981,95.036,0.352
plastic,MY FIRST STORY,6cFSP0fdTe5OHoz3VcPaaO,0.0173,0.903,89.991,0.911
君の唄,MY FIRST STORY,39aNGGEDoh1CCPWCM49Tp0,0.028,0.658,109.955,0.17
アンダードッグ feat.JESSE (The BONEZ / RIZE),MY FIRST STORY,4OCyRfOf2ftfyEhQUjaGQx,0.00016,0.954,114.933,0.522
アンダーグラウンド,MY FIRST STORY,7J5rQ68rXTv7zD1pM5baio,0.00306,0.958,97.941,0.487
Someday,MY FIRST STORY,0KzVMAlNszLJd00MTYYKqv,0.00426,0.924,90.062,0.273
Drive Me,MY FIRST STORY,2Dhww8whqDBWiwsROZO3of,0.00298,0.924,179.89,0.3
Sink Like a Stone,SWANKY DANK,5HMXCirRFXQ2pVHHzkK32d,1.07e-05,0.952,195.715,0.528
レイメイ,Sayuri,1s0QbmRVJ6AK4ICc44tJtB,0.00116,0.983,185.116,0.241
絶対絶命,MY FIRST STORY,4inxbinGBe0quHygAxlDNd,8.29e-05,0.987,169.813,0.236
MEMORIES,MY FIRST STORY,3NfKXjvzsP17Tra55CffOO,0.000577,0.967,90.04,0.447
The Story Is My Life,MY FIRST STORY,4uYwtW4P4AjfxgKtNQqJBR,1.34e-05,0.983,104.955,0.47
Calling you,MY FIRST STORY,4kZRun5ZCHUTcxSJeDmYue,0.00312,0.98,95.012,0.24
Room,MY FIRST STORY,6l4823YeFbd00tL4snuUFP,0.00326,0.952,114.951,0.258
mine,MY FIRST STORY,7tEPVlqhrK9Stc7rIQzFyk,0.0114,0.797,115.065,0.316
"""Boom""",MY FIRST STORY,0CkARTGv97YSA0TuWRpHGd,5.45e-05,0.978,199.918,0.192
2 FACE,MY FIRST STORY,1zsv3SI1GqYvrj7zhva1tK,0.000306,0.992,102.491,0.235
Warning,MY FIRST STORY,0GmeA0tDBzkGnMh8Aj1yiF,0.00129,0.948,185.269,0.232
Bullet radio,MY FIRST STORY,1Y56IAL1JGA6sWcL3GMO2p,0.000537,0.973,187.131,0.297
アイデンティティー,MY FIRST STORY,1oe5T289Oiv3s6a2QAxAyr,0.000676,0.987,114.959,0.425
Second Limit,MY FIRST STORY,1GkjM3YFmgiE23gyezCySh,0.00071,0.959,95.074,0.264
モノクロエフェクター,MY FIRST STORY,0NzuuN5h8jtjgcwmcbj4b4,0.00241,0.956,150.025,0.327
ACCIDENT,MY FIRST STORY,3elIRsmkUWTGrqEuAasoRt,0.000272,0.923,119.99,0.664
Starting Over,MY FIRST STORY,17esqdA9frJM7oNzo3yIil,0.0117,0.908,99.004,0.672
CRAZY BEAUTIFUL NIGHT,MY FIRST STORY,1BvsiUIXqmq0i7Fa8cC3LV,0.00155,0.924,130.067,0.32
「花」 -0714-,MY FIRST STORY,3iASGIFlQ3RbavXMPobRuW,0.00807,0.641,129.957,0.306
Awake,MY FIRST STORY,0NT0IWL13l990vIlg8Ovjd,6.89e-05,0.981,104.926,0.25
MINORS,MY FIRST STORY,4Jt1Py3kXJOjYUDO9rmz4M,0.0205,0.95,104.834,0.3
悪戯フィクション,MY FIRST STORY,4byBkXmWNi1crfk8oYIhrD,0.000292,0.961,91.491,0.392
告白,MY FIRST STORY,05dNly5n36DhY8tY0qLNBw,0.662,0.471,134.948,0.401
Last Kiss,MY FIRST STORY,06ohbV2jDn2TzWbgFk2K2e,0.557,0.538,149.408,0.223
証,MY FIRST STORY,3QQHpIDed2ecBxyCxCWaIb,0.046,0.911,100.016,0.721
Love Letter,MY FIRST STORY,7oXAeN67tvfKQ7yYuhtfgv,0.0273,0.788,99.877,0.399
One Light,MY FIRST STORY,7cAYn9T8eGyPT9IfaISuLD,0.0306,0.902,180.052,0.342
PARADOX,MY FIRST STORY,6V6ED9h3ps0gzcClRMxSKu,0.0432,0.779,130.005,0.514
Last Call,MY FIRST STORY,7xhmLKPZ5VhqEGXv9w8iOd,0.00014,0.988,100.169,0.134
The Storyteller,MY FIRST STORY,4XpQLcNHiDBfx4IfLSX5HP,0.00182,0.872,144.981,0.44
Tomorrowland,MY FIRST STORY,5wtCtFclIHifYjT3XVuvnI,5.18e-05,0.986,141.014,0.236
lonely,MY FIRST STORY,0M6E9d9UvGGU0AsRAhXvJP,0.0057,0.88,135.996,0.136
King & Ashley,MY FIRST STORY,3TeMXdcKef8xeWrjepm2IP,0.000127,0.957,107.556,0.444
LEADER,MY FIRST STORY,7aL1ICSO4JYdRzQcxQ96lz,0.00301,0.97,180.292,0.28
Gift,MY FIRST STORY,1Oi7pxV2W8axzozwWeRwHQ,0.000116,0.943,139.995,0.498
SAVIOR OF SONG(feat.MY FIRST STORY),NANO,6iova3wpxlyVLi5h21h67k,0.000341,0.91,96.038,0.611
Listen,MY FIRST STORY,5rtulpUZ7hinDGwe46ondS,0.0127,0.886,120.001,0.429
Dreaming of you,MY FIRST STORY,61AYCZrkESwuQKUULP0fgF,0.164,0.716,119.924,0.689
Still,MY FIRST STORY,1kWx9bzXhVKOc63PnPsI12,0.0529,0.879,174.978,0.228
Where come from…,MY FIRST STORY,4x8mobA7K3JzrH90itIOFb,0.000143,0.949,74.805,0.554
EXPERIENCE,MY FIRST STORY,3S0jB9xr5VuasxwxhuaZeA,9.91e-05,0.978,187.098,0.493
REMEMBER,MY FIRST STORY,0f8lDzu9KNm7rvFebADLYS,0.0159,0.938,129.984,0.249
Deserve!!,MY FIRST STORY,1GH4WL7qpznWpbHZCJiT6i,0.000164,0.933,95.028,0.663
あいるびーばっく feat. Hiro from MY FIRST STORY,BAK,1jcCGgDRrDsma4AXoEcrHW,0.114,0.892,131.907,0.618
Lose your mind,MY FIRST STORY,1qBuFhQxHT74J068GuNzTj,8.48e-06,0.973,106.92,0.62
If I Am…,MY FIRST STORY,1BdI9l0sWEjJZJsYyUi5IC,0.00118,0.838,144.896,0.443
Silence word,MY FIRST STORY,0ESK20GH81DL8GPbjYAbRJ,0.00122,0.834,97.52,0.355
21Miles,MY FIRST STORY,7xHCTwLyhthha31pYn55tv,0.704,0.366,159.626,0.564
廻廻奇譚,MY FIRST STORY,2YQwWIIZZhV2USqsTyzCYE,0.00109,0.973,92.499,0.445
See You Again,MY FIRST STORY,44Slr55caInRBxlJw74a7c,0.918,0.309,149.947,0.554
ミカヅキ-Hiro(MY FIRST STORY)Vo ver.-,Sayuri,0sc4U4EIeFQDKWAz67sl34,0.0209,0.843,125.967,0.509
"1,000,000 TIMES feat. chelly (EGOIST)",MY FIRST STORY,3dVMeI08Of33bjSELmtSqq,0.00382,0.987,199.874,0.236
Ashen,MY FIRST STORY,2dbM1j1plZaxNeRGGvyy66,0.000191,0.95,194.998,0.206
アクマ,MY FIRST STORY,6ebno1nYxxJd6Soz0TyjIr,0.0107,0.927,156.98,0.731
BREAK IT DOWN,MY FIRST STORY,73o6n0ZXWVYnBSzge6Ei0m,9.19e-05,0.949,97.01,0.482
鴉,MY FIRST STORY,435ojXz9dKdHwLsSGe0QNm,0.00454,0.797,87.963,0.342
Vandalize,ONE OK ROCK,1zPsa7aCICVvxBpPuzA9JJ,0.0122,0.892,133.998,0.555
Bedroom Warfare,ONE OK ROCK,641v1GDGA1OYzn4LKksAyt,0.000288,0.913,133.969,0.762
Mighty Long Fall,ONE OK ROCK,68unkgYfyfZDWSVz7FoY8Z,0.00129,0.953,158.02,0.538
光芒,ONE OK ROCK,5xUW3CurYaC7hrFSGOTlsQ,0.00189,0.889,165.982,0.638
恋ノアイボウ心ノクピド,ONE OK ROCK,5eie6nT6y80qjpuHhUxhuX,6.47e-05,0.935,98.616,0.607
ONION!,ONE OK ROCK,553AKE3iN46rGvdi8ANiNv,1.81e-05,0.972,177.018,0.632
Living Dolls,ONE OK ROCK,4fAWPV5MwPulFtPCcebTQn,0.00183,0.865,94.001,0.29
Nothing Helps,ONE OK ROCK,5Xhe6quw4D0bQp7WxLLec6,2.51e-05,0.777,91.006,0.559
C.h.a.o.s.m.y.t.h.,ONE OK ROCK,24BG2nboedaLDaTZ7WmY2R,0.00112,0.901,93.006,0.279
Smiling down,ONE OK ROCK,7AactJM1bHimCdeSmRjCNe,0.000415,0.852,168.656,0.41
Never Let This Go,ONE OK ROCK,18kyXukQf76jCxKSUEBxlG,6.22e-05,0.983,95.424,0.399
アンサイズニア,ONE OK ROCK,7IOHcSwKskrAFMA1gZwD1d,0.00127,0.961,187.966,0.34
20/20,ONE OK ROCK,1hXdrsESoSGG5fH37BrNqE,0.00162,0.913,164.941,0.701
Nobody's Home,ONE OK ROCK,2ZcOr5lHz4qY7b177BINul,0.000228,0.937,84.873,0.368
カゲロウ,ONE OK ROCK,4v5JwgpMOAYGevASour7Fd,0.0576,0.852,79.986,0.583
未完成交響曲,ONE OK ROCK,5dcY3tnR5Id4R9hvM3Fpvp,0.000782,0.99,195.051,0.491
Always coming back,ONE OK ROCK,2NwGpjVtyRJm7WwkB98rrP,0.146,0.741,75.036,0.295
Deeper Deeper,ONE OK ROCK,3qmZlJRJjliV3a9LKRiIMT,3.09e-05,0.966,158.828,0.664
the same as...,ONE OK ROCK,0d4lixnAOojZyVfCydVSLM,6.22e-05,0.933,158.612,0.366
Outta Sight,ONE OK ROCK,5WqJTNhzupAvCDFt8jJ834,0.0821,0.848,170.121,0.489
Clock Strikes,ONE OK ROCK,1XPzVq4TS2D38MUb9uu0hi,0.00113,0.921,95.934,0.231
じぶんROCK,ONE OK ROCK,6SkHCwuXmDgOUW4kANhvk6,0.000628,0.978,166.019,0.376
One by One,ONE OK ROCK,7jrdj9nOFSy74y7DhqtJCX,0.000565,0.945,197.02,0.386
Pierce,ONE OK ROCK,41BEruDJtTym6apBSyL0iG,0.316,0.481,112.264,0.235
Giants,ONE OK ROCK,4vXiNswx89Q5jE9eB8KCT9,0.0134,0.66,104.998,0.684
Ending Story??,ONE OK ROCK,7FWiR3UxAeDBL96AOlEzUt,0.000131,0.917,175.133,0.414
CONVINCING,ONE OK ROCK,1y1uHawLitKRyZjhH1ffsu,8.38e-05,0.909,90.521,0.666
完全感覚Dreamer,ONE OK ROCK,30hzxa3MaRd2XXB6kXGlPh,0.000191,0.914,94.975,0.711
Let Me Let You Go,ONE OK ROCK,6PM8wi7Z9LnM426pJT47kY,0.0102,0.827,96.101,0.717
Stand Out Fit In,ONE OK ROCK,17EiIn0d2tftCjJrGOrbFj,0.0291,0.839,126.023,0.34
The Beginning,ONE OK ROCK,1J6MFj60gFCvYqOtjoYkM0,8.83e-05,0.983,182.058,0.279
Be the light,ONE OK ROCK,378EsxeP43WTpveXLfj4hh,0.00742,0.876,82.022,0.42
Taking Off,ONE OK ROCK,7bmdV1IiqeCIK1Lb3klDVV,0.00182,0.878,111.978,0.421
Riot!!!,ONE OK ROCK,0bwAsWF3LNtZGJRzuUO3Eb,0.000131,0.951,93.766,0.303
Wonder,ONE OK ROCK,4lUpv1FFjb7B2IaZu8O8Sb,0.00232,0.949,160.042,0.472
努努-ゆめゆめ-,ONE OK ROCK,3DgBxV8oklNgwhnkfQNIdi,0.00307,0.951,125.975,0.646
混雑コミュニケーション,ONE OK ROCK,1b1DYrGrRqZXi7CfAWRUNT,6.52e-05,0.99,194.814,0.244
20 years old,ONE OK ROCK,4Kq6r1LlSUDX0quxlLOzWd,0.0109,0.906,84.294,0.678
キミシダイ列車,ONE OK ROCK,0a5rZP8sYdlvBRVmcNovyC,0.000226,0.909,170.092,0.849
Yes I am,ONE OK ROCK,20nbZ1is4EpARn5Hw5wJbm,0.000572,0.989,163.134,0.248
Juvenile,ONE OK ROCK,7dIuQXaPedaYXQORKFKvoH,0.0238,0.961,135.147,0.477
Cry out,ONE OK ROCK,1yDQHmQ4uxcC3qrYpd702l,0.0022,0.977,168.068,0.149
Shake it down,ONE OK ROCK,17LrY2XpptFiPM8f3IzlCi,7.73e-05,0.985,94.453,0.429
LOST AND FOUND,ONE OK ROCK,4E0lHSPfXL679DtfbsqD8Q,8.8e-05,0.971,194.409,0.729
Mad World,ONE OK ROCK,7uPqCPyYOZV9OqRfGCKhoP,0.014,0.927,79.855,0.667
Liar,ONE OK ROCK,0NYG1R49m9sZ8TYBWZ8MZe,0.000258,0.979,103.538,0.304
Re:make,ONE OK ROCK,4jcSJrDnKSmOLqMkGJmFL6,0.000116,0.988,171.977,0.443
Viva Violent Fellow~美しきモッシュピット~,ONE OK ROCK,3AHR2x4tldZsxzygXx6ebf,7.41e-05,0.884,89.614,0.82
Suddenly,ONE OK ROCK,3TKRAK52N5L8b9E82TC8eq,0.000959,0.978,90.446,0.228
Paper Planes,ONE OK ROCK,3OoMjSl2QOiRce4UrETQAP,0.00325,0.959,110.097,0.145
Start Again,ONE OK ROCK,71MTBfRQTn7AxOPVtAB8gB,0.000592,0.893,173.933,0.544
Memories,ONE OK ROCK,6kSGjfp9PbQdlnTzDoD45K,0.000419,0.904,175.042,0.556
Prove,ONE OK ROCK,52ag4tcZZ9ZSRZJPELSUzV,0.0151,0.824,111.071,0.529
内秘心書,ONE OK ROCK,5bdgq735hCO46J98oi2Wpe,0.00329,0.866,92.572,0.542
エトセトラ,ONE OK ROCK,5vYgHcbKyi6gSJ9OEK0Ivb,0.00774,0.863,84.027,0.147
皆無,ONE OK ROCK,0O5c881FanD1eIc3cy8F8t,0.000219,0.875,178.096,0.465
Wherever you are,ONE OK ROCK,7a7EIFzJLd7lcDRgThMQgm,0.0286,0.69,173.716,0.288
Make It Out Alive,ONE OK ROCK,4WVJeRP6hjMMBkmWsV4TtF,1.02e-05,0.936,137.047,0.398
Stuck in the middle,ONE OK ROCK,6jhcFvAbEzyb1sZBtD3hwp,3.1e-05,0.98,94.911,0.232
アダルトスーツ,ONE OK ROCK,6jGSZQEgf2b1rCzDHZOP1g,0.00125,0.983,185.025,0.531
Fight the night,ONE OK ROCK,4SlBZrMrhbmfrFZaeHUHMf,0.0442,0.638,135.031,0.191
Take what you want (featuring 5 Seconds of Summer),ONE OK ROCK,1P3cdB5wydoRlTFRz0bNLO,0.0161,0.865,118.016,0.459
Your Tears are Mine,ONE OK ROCK,18rY0odTZPuODbH8QBnsmP,0.00945,0.528,168.783,0.221
Neon,ONE OK ROCK,0g3TpQFLDLUwjj56BCxsou,0.000467,0.897,137.016,0.576
Take me to the top,ONE OK ROCK,1RW9aS1EwV1KOktcCe98Sz,0.0011,0.974,195.968,0.223
欲望に満ちた青年団,ONE OK ROCK,6D6Pybzey0shI8U9ttRAPx,0.0479,0.752,87.985,0.694
Letting Go,ONE OK ROCK,79oyoDlPustmUs5yIlhbBI,0.324,0.688,98.012,0.44
So Far Gone,ONE OK ROCK,1KGDfQnjkz98Ht1fG6MayU,0.00318,0.705,166.036,0.402
Renegades,ONE OK ROCK,51jNm9g0nRKfYUXx0CQcae,0.00108,0.842,153.946,0.342
Melody Lineの死亡率,ONE OK ROCK,5wnZgVBvsGfQNnzYmOnppX,7.59e-05,0.927,179.964,0.649
When They Turn the Lights On,ONE OK ROCK,18dzHoS7vHCYXahYqaBekU,0.0239,0.754,156.095,0.304
Decision,ONE OK ROCK,2R3Sw7x7TZn9vAkcAbZvus,0.000417,0.93,160.023,0.197
I was King,ONE OK ROCK,0LwktKzh7qjyrWpcrUsqhn,0.000159,0.875,184.954,0.349
Heartache,ONE OK ROCK,35u1HQH5grjygDHlmImpax,0.0954,0.686,142.871,0.236
NO SCARED,ONE OK ROCK,6EnWLKttoqHlbi0lJN0Vbr,0.000152,0.976,185.081,0.518
Reflection,ONE OK ROCK,3fBRC8E9vhKJI4mJeJMMOo,8.27e-05,0.898,94.83,0.416
Change,ONE OK ROCK,14DNw6R24Vcm4lzaSFn3oz,0.00224,0.742,90.084,0.327
Gravity (feat. Satoshi Fujihara) [OFFICIAL HIGE DANDISM],ONE OK ROCK,2sjFLSGUKxYT8qSuuLHAdx,0.0464,0.713,97.592,0.424
One Way Ticket,ONE OK ROCK,62i2LI6iDmAHbE9H9wa99z,0.385,0.738,97.973,0.488
Listen (featuring Avril Lavigne),ONE OK ROCK,0GT5m0eIa0OATOECdQtcsk,0.0185,0.907,168.091,0.439
Good Goodbye,ONE OK ROCK,3Od9KboHdqw7eJiR1jCwz7,0.0259,0.56,101.955,0.35
69,ONE OK ROCK,5notV2FLCYg3jRBdRFmipa,0.000513,0.895,83.027,0.54
Save Yourself,ONE OK ROCK,1xeikRZtZYOymGJAxOm1dr,0.00802,0.859,82.52,0.768
Broken Heart of Gold,ONE OK ROCK,2SRmR6w3MMCA0UwAtKkVrZ,0.0804,0.712,85.794,0.156
Borderline,ONE OK ROCK,05j2gK8URdnf7uiWqnXbUk,0.000107,0.973,92.971,0.437
We are,ONE OK ROCK,4QL5DKkPZwBXkph4fW2Y0Z,0.0503,0.823,147.927,0.326
Wasted Nights,ONE OK ROCK,2gSQoIbvF2hDfIayhF7QLa,0.0175,0.824,125.053,0.385
Let's take it someday,ONE OK ROCK,34zQpV511YhoQjhueyKG7B,2.14e-05,0.982,124.972,0.34
必然メーカー,ONE OK ROCK,2gGW5HTHPcdbg5bTxuI69E,0.00742,0.919,92.491,0.355
Can't Wait,ONE OK ROCK,7wWV7FM015VYTlNw6KIYRI,0.0194,0.869,111.014,0.542
Worst in Me,ONE OK ROCK,7ppyNgkO7nWPP9ii5SeYz0,0.174,0.855,155.423,0.526
夜にしか咲かない満月,ONE OK ROCK,0rFzrfWzAY3mwZ603lBZOZ,4.43e-05,0.95,154.891,0.581
Lost in Tonight,ONE OK ROCK,6qPI6bkOq5vvD4vMmH5Kil,0.00207,0.974,157.847,0.54
( you can do ) everything,ONE OK ROCK,164mzTqzr9X7LhQO4B7xDx,9.36e-05,0.936,166.102,0.435
Mr.現代Speaker,ONE OK ROCK,2DRVJjfh0vhnD8dL55HJi8,7.28e-05,0.881,138.887,0.243
Bombs away,ONE OK ROCK,5kIYyeGwlDKCFUN2SFofGd,0.0392,0.943,159.943,0.283
ケムリ,ONE OK ROCK,1YVdmLu9PIrV2Bz5sJAUYw,0.000348,0.843,125.929,0.41
Lujo,ONE OK ROCK,2NQ4t1S1c5QlninK1QCnhC,8.74e-05,0.982,175.921,0.375
In the Stars (feat. Kiiara),ONE OK ROCK,3VESewT7ERH2wtE5OyuKWH,0.446,0.785,157.974,0.193
100%(hundred percent),ONE OK ROCK,6z5Kk48QPL43gOi2WZqMPL,4.85e-05,0.97,92.972,0.635
Bon Voyage,ONE OK ROCK,1tNP63SI0nJgLFHFAPUwFK,0.0129,0.951,110.001,0.379
All Mine,ONE OK ROCK,50lSJQNv2r1RwqtT6OKDTa,0.841,0.357,81.889,0.261
Break My Strings,ONE OK ROCK,0xUBumMpDARiFrRC5GTa3b,8.3e-05,0.875,110.158,0.458
My sweet baby,ONE OK ROCK,0bHc1ZtjBKPp9NtrG7MAGv,0.0635,0.851,95.02,0.505
世間知らずの宇宙飛行士,ONE OK ROCK,2vYHbSCwGGN8t75WznqyQz,0.000573,0.698,87.019,0.622
燦さん星,ONE OK ROCK,7eDh9zj5iLxEUD0G6LAGrE,0.00245,0.837,161.114,0.636
Free Them (feat. Teddy Swims),ONE OK ROCK,0kiEbXlAps3N4kCKFtOL59,0.00238,0.726,107.16,0.353
Crazy Botch,ONE OK ROCK,0opiefH6A0Hd13TkW6p2RL,0.000258,0.956,136.796,0.508
Push Back,ONE OK ROCK,1CUySISI1Hhlr54QxBKYvV,0.00147,0.659,94.981,0.346
Yap,ONE OK ROCK,1L44VToyydPDEceKgOHdEo,0.00568,0.906,186.075,0.875
どっぺるゲンガー,ONE OK ROCK,28cqNmgLomAIx8CgKKwMzv,0.00329,0.933,170.06,0.669
Grow Old Die Young,ONE OK ROCK,5KjpVjzswXSbrUuIKds12T,0.114,0.607,176.425,0.278
"A new one for all, All for the new one",ONE OK ROCK,1mu4SNg4u1mRMiMsHsTyw3,0.0232,0.394,179.942,0.247
存在証明,ONE OK ROCK,2OjCFvzc4D7o9BmK3aXiNt,0.00205,0.964,95.949,0.304
The Last Time,ONE OK ROCK,6bnJ8ivLzjAZ0KIRHTeP4l,0.000258,0.739,101.065,0.298
JUST,ONE OK ROCK,6m05fVl7EJivv213zRdWpl,0.05,0.000129,195.625,0.275
Eye of the Storm,ONE OK ROCK,7KIDnYjAddu6wHdDjFTXZi,0.0388,0.834,149.881,0.441
Head High,ONE OK ROCK,5umPOWMg1gi40bqhFx0lIz,0.00941,0.856,105.983,0.35
Delusion:All,ONE OK ROCK,61f3iPQRIe0I6CSj7qJdi3,9.93e-05,0.898,108.207,0.313
2045,MAN WITH A MISSION,3H7vCs8SwJO7WRhgCaKKr1,0.0144,0.948,117.988,0.23
evergreen,MAN WITH A MISSION,79kQojJ1eX784zQhtdXefM,5.59e-05,0.975,196.114,0.429
When My Devil Rises,MAN WITH A MISSION,1GlX0dwUIUh4NpRXlJY8WM,0.000255,0.959,106.997,0.635
フォーカスライト,MAN WITH A MISSION,1TJJ96TfQ0jigtr6snT5V4,0.000261,0.913,155.97,0.535
higher,MAN WITH A MISSION,3iF4Laaa2ZILUgfCYhNdI6,1.29e-05,0.916,143.965,0.507
Dive,MAN WITH A MISSION,0zybheRvlQB2E8z1MMG8FH,0.00464,0.98,105.02,0.545
Wake Myself Again,MAN WITH A MISSION,4lTu99ViNKE6jwLtg09GrU,0.000118,0.93,147.914,0.445
database,MAN WITH A MISSION,5cIGOvYS3YmKvVsiaCHmJK,7.38e-05,0.969,177.007,0.807
Feel and Think,MAN WITH A MISSION,00qrpM7ThTmEtMvmA3cTto,6.88e-05,0.955,189.83,0.819
babylon,MAN WITH A MISSION,2tGqd9xQvrrtAr3D0vpBR5,0.0301,0.935,110.007,0.452
PANORAMA RADIO,MAN WITH A MISSION,1R6oibYRktuTNIRDK5wy3B,0.0518,0.649,135.025,0.465
Emotions,MAN WITH A MISSION,0IGFPQy1tVBEOh5hUeK8RH,0.000178,0.969,176.142,0.185
colours,MAN WITH A MISSION,4McGddoL2Bc0KWZAWWKLz6,0.107,0.55,96.084,0.355
Seven Deadly Sins,MAN WITH A MISSION,1C14dtVHQfglaX1yaWnANg,0.00497,0.967,142.887,0.345
evils fall,MAN WITH A MISSION,0WaZ3y7lA6FDyMbhQYXTRj,0.000149,0.969,126.526,0.2
distance,MAN WITH A MISSION,1XCDBsitka9kl2LofCtTJG,0.000274,0.98,161.955,0.495
Trick or Treat,MAN WITH A MISSION,3Bw5Y9ChiN3vNASN9meIw6,0.000939,0.982,111.983,0.396
86 Missed Calls,MAN WITH A MISSION,2BnLH2O9IKuMEefQv5NXHX,0.00178,0.852,130.656,0.566
Blaze,MAN WITH A MISSION,5CXdtAMhHtwES0IgBiSrUF,0.00184,0.945,98.037,0.429
